idade,renda_mensal,uf,emprego,limite_credito
58.0,14938.0,SP,STATUS_Autonomo,7800.0
43.0,5809.0,SP,STATUS_Empregado,5300.0
63.0,7043.0,BA,STATUS_Empresario,8000.0
67.0,16301.0,BA,STATUS_Autonomo,9800.0
,18587.0,SP,STATUS_Empresario,8400.0
53.0,14850.0,SP,STATUS_Empresario,9700.0
47.0,9418.0,SP,STATUS_Autonomo,5400.0
19.0,15296.0,MG,STATUS_Empresario,8200.0
37.0,14026.0,MG,STATUS_Empregado,6200.0
22.0,4293.0,SP,STATUS_Autonomo,2100.0
48.0,18506.0,RJ,STATUS_Autonomo,7900.0
25.0,12404.0,SP,STATUS_Empresario,7000.0
47.0,8801.0,PR,STATUS_Autonomo,6700.0
56.0,,MG,STATUS_Empresario,8300.0
19.0,13231.0,BA,STATUS_Autonomo,5200.0
30.0,,BA,STATUS_Autonomo,5600.0
21.0,6684.0,RJ,STATUS_Empresario,4300.0
62.0,9774.0,SP,STATUS_Empresario,8400.0
69.0,3841.0,SP,STATUS_Autonomo,5200.0
25.0,4855.0,PR,STATUS_Empresario,6100.0
56.0,19850.0,BA,STATUS_Empregado,10000.0
42.0,,MG,STATUS_Empresario,9400.0
24.0,11059.0,MG,STATUS_Empresario,7300.0
31.0,13237.0,MG,STATUS_Empregado,6700.0
46.0,12896.0,PR,STATUS_Empresario,7600.0
62.0,18225.0,PR,STATUS_Empregado,9200.0
38.0,10237.0,SP,STATUS_Empresario,8600.0
54.0,7540.0,PR,STATUS_Autonomo,6100.0
,6258.0,MG,STATUS_Empregado,6600.0
50.0,7395.0,SP,STATUS_Empresario,7300.0
58.0,7305.0,PR,STATUS_Empregado,6600.0
,16793.0,RJ,STATUS_Autonomo,6900.0
63.0,12558.0,MG,STATUS_Empregado,6700.0
31.0,6385.0,RJ,STATUS_Autonomo,3700.0
26.0,11528.0,BA,STATUS_Empresario,7700.0
32.0,6351.0,RJ,STATUS_Autonomo,4100.0
24.0,5207.0,MG,STATUS_Empregado,4600.0
19.0,2190.0,PR,STATUS_Empresario,4400.0
48.0,6135.0,MG,STATUS_Empresario,6800.0
24.0,15678.0,SP,STATUS_Empresario,9500.0
58.0,3478.0,SP,STATUS_Autonomo,5300.0
28.0,,BA,STATUS_Empresario,7000.0
,17612.0,BA,STATUS_Autonomo,6400.0
30.0,,MG,STATUS_Autonomo,4100.0
43.0,18380.0,RJ,STATUS_Autonomo,8000.0
60.0,7543.0,RJ,STATUS_Empresario,7500.0
67.0,,RJ,STATUS_Empregado,7000.0
25.0,18314.0,RJ,STATUS_Empresario,7900.0
31.0,19423.0,PR,STATUS_Empresario,9800.0
62.0,9139.0,BA,STATUS_Empresario,7500.0
19.0,9686.0,RJ,STATUS_Empresario,6400.0
59.0,7928.0,SP,STATUS_Autonomo,6100.0
32.0,15668.0,SP,STATUS_Empregado,7000.0
41.0,4666.0,MG,STATUS_Empresario,6400.0
,10634.0,MG,STATUS_Empresario,8100.0
21.0,13001.0,BA,STATUS_Autonomo,5300.0
,16001.0,SP,STATUS_Autonomo,6700.0
42.0,10556.0,RJ,STATUS_Autonomo,6300.0
64.0,18083.0,PR,STATUS_Empregado,9700.0
41.0,11627.0,MG,STATUS_Autonomo,7300.0
,6721.0,PR,STATUS_Empregado,5200.0
51.0,13764.0,MG,STATUS_Empresario,9600.0
68.0,14589.0,PR,STATUS_Autonomo,6500.0
55.0,18778.0,PR,STATUS_Empresario,9700.0
20.0,3169.0,MG,STATUS_Empresario,5200.0
36.0,8131.0,MG,STATUS_Empresario,6400.0
64.0,18509.0,BA,STATUS_Empresario,11400.0
63.0,14960.0,RJ,STATUS_Autonomo,7600.0
53.0,11640.0,RJ,STATUS_Empregado,7600.0
36.0,9150.0,PR,STATUS_Autonomo,5800.0
,15676.0,BA,STATUS_Autonomo,6500.0
64.0,13805.0,MG,STATUS_Autonomo,7200.0
27.0,12793.0,MG,STATUS_Empresario,6400.0
35.0,1522.0,PR,STATUS_Autonomo,2900.0
21.0,4619.0,BA,STATUS_Empresario,3600.0
29.0,14226.0,PR,STATUS_Empresario,7900.0
,5065.0,RJ,STATUS_Empregado,5100.0
46.0,9306.0,MG,STATUS_Empresario,9200.0
29.0,2005.0,BA,STATUS_Empresario,4800.0
28.0,9714.0,MG,STATUS_Empregado,6300.0
21.0,12291.0,PR,STATUS_Empresario,7400.0
63.0,4123.0,BA,STATUS_Autonomo,5100.0
,9763.0,RJ,STATUS_Empresario,7300.0
43.0,,BA,STATUS_Autonomo,3800.0
45.0,4951.0,PR,STATUS_Empresario,7200.0
64.0,14258.0,MG,STATUS_Empresario,10300.0
21.0,6473.0,PR,STATUS_Autonomo,3800.0
53.0,14813.0,BA,STATUS_Empregado,7600.0
32.0,11093.0,BA,STATUS_Empresario,7200.0
39.0,8371.0,PR,STATUS_Empresario,8600.0
66.0,8171.0,RJ,STATUS_Empregado,6700.0
41.0,17723.0,RJ,STATUS_Empregado,9400.0
41.0,3574.0,SP,STATUS_Empregado,3700.0
54.0,12778.0,SP,STATUS_Empresario,9700.0
22.0,5919.0,MG,STATUS_Autonomo,3600.0
,17877.0,MG,STATUS_Empresario,8700.0
66.0,13527.0,MG,STATUS_Autonomo,8400.0
27.0,1570.0,MG,STATUS_Empregado,1600.0
20.0,18623.0,SP,STATUS_Empresario,9500.0
,2931.0,RJ,STATUS_Empresario,6800.0
51.0,9249.0,MG,STATUS_Empresario,8000.0
,3659.0,SP,STATUS_Empresario,5800.0
27.0,19076.0,RJ,STATUS_Empregado,8000.0
33.0,18376.0,RJ,STATUS_Empregado,8000.0
46.0,4858.0,RJ,STATUS_Empregado,5000.0
20.0,12144.0,SP,STATUS_Empresario,7800.0
28.0,17835.0,SP,STATUS_Empresario,9700.0
,1961.0,PR,STATUS_Autonomo,3600.0
21.0,16820.0,PR,STATUS_Autonomo,5800.0
66.0,5865.0,SP,STATUS_Autonomo,6100.0
21.0,17217.0,MG,STATUS_Empresario,8100.0
,7913.0,RJ,STATUS_Empresario,6300.0
45.0,3235.0,PR,STATUS_Autonomo,3200.0
52.0,12276.0,PR,STATUS_Autonomo,6800.0
55.0,13757.0,RJ,STATUS_Autonomo,6700.0
67.0,7496.0,PR,STATUS_Empregado,5700.0
41.0,9335.0,BA,STATUS_Autonomo,4800.0
39.0,14899.0,BA,STATUS_Empresario,8800.0
43.0,17901.0,PR,STATUS_Empresario,10400.0
35.0,13629.0,MG,STATUS_Autonomo,6400.0
20.0,,BA,STATUS_Empresario,3600.0
63.0,11550.0,MG,STATUS_Empresario,9300.0
28.0,2663.0,SP,STATUS_Empresario,5000.0
26.0,8063.0,RJ,STATUS_Autonomo,3900.0
,11822.0,PR,STATUS_Empresario,7900.0
43.0,8743.0,BA,STATUS_Empregado,5100.0
53.0,18156.0,MG,STATUS_Autonomo,8200.0
21.0,,PR,STATUS_Autonomo,5300.0
69.0,13409.0,SP,STATUS_Empresario,9300.0
19.0,2970.0,SP,STATUS_Autonomo,2600.0
,13473.0,BA,STATUS_Empresario,7200.0
24.0,,PR,STATUS_Empregado,4800.0
53.0,8113.0,PR,STATUS_Empregado,5500.0
51.0,7723.0,PR,STATUS_Empresario,8000.0
57.0,3444.0,SP,STATUS_Empresario,6700.0
36.0,18940.0,SP,STATUS_Empresario,9900.0
46.0,,RJ,STATUS_Empregado,4400.0
56.0,,SP,STATUS_Empresario,10300.0
,3692.0,SP,STATUS_Empregado,2600.0
27.0,,RJ,STATUS_Autonomo,4700.0
58.0,4718.0,PR,STATUS_Empresario,6200.0
59.0,19277.0,SP,STATUS_Empregado,10400.0
22.0,,RJ,STATUS_Empregado,4500.0
41.0,4143.0,PR,STATUS_Autonomo,4100.0
,5340.0,MG,STATUS_Empregado,5300.0
39.0,6834.0,RJ,STATUS_Empresario,6100.0
43.0,19563.0,RJ,STATUS_Empresario,10300.0
68.0,3187.0,PR,STATUS_Empregado,6000.0
54.0,16559.0,BA,STATUS_Empregado,8100.0
62.0,14762.0,MG,STATUS_Empregado,8600.0
46.0,16499.0,SP,STATUS_Autonomo,6400.0
53.0,7744.0,BA,STATUS_Empresario,7700.0
37.0,6555.0,PR,STATUS_Empregado,4000.0
35.0,17020.0,PR,STATUS_Empresario,8300.0
57.0,4795.0,PR,STATUS_Autonomo,5200.0
,7061.0,BA,STATUS_Autonomo,5900.0
58.0,14650.0,PR,STATUS_Empresario,9400.0
32.0,10474.0,MG,STATUS_Autonomo,5000.0
32.0,14620.0,BA,STATUS_Empresario,10300.0
41.0,3404.0,MG,STATUS_Empresario,5400.0
46.0,16384.0,MG,STATUS_Empregado,8100.0
34.0,6859.0,PR,STATUS_Empregado,5300.0
66.0,16377.0,MG,STATUS_Empresario,10800.0
64.0,4277.0,BA,STATUS_Empregado,6300.0
42.0,5371.0,PR,STATUS_Empresario,6400.0
33.0,13157.0,SP,STATUS_Autonomo,6700.0
67.0,3671.0,RJ,STATUS_Empregado,5800.0
34.0,2697.0,SP,STATUS_Empresario,5500.0
64.0,17393.0,BA,STATUS_Empregado,9400.0
64.0,17700.0,PR,STATUS_Empregado,9700.0
38.0,10833.0,BA,STATUS_Empresario,7400.0
61.0,14230.0,PR,STATUS_Empresario,10300.0
65.0,15668.0,RJ,STATUS_Empresario,9400.0
44.0,6606.0,MG,STATUS_Empregado,5800.0
22.0,12995.0,MG,STATUS_Empregado,6800.0
39.0,2987.0,MG,STATUS_Empresario,5900.0
50.0,2690.0,RJ,STATUS_Empresario,5700.0
57.0,13129.0,BA,STATUS_Autonomo,7700.0
19.0,10259.0,SP,STATUS_Empregado,4400.0
52.0,6546.0,SP,STATUS_Autonomo,5700.0
60.0,7570.0,SP,STATUS_Empregado,5400.0
36.0,19195.0,RJ,STATUS_Empregado,9000.0
57.0,13589.0,BA,STATUS_Empregado,8400.0
44.0,11049.0,BA,STATUS_Empresario,8300.0
57.0,15029.0,BA,STATUS_Empresario,9500.0
53.0,2848.0,SP,STATUS_Empresario,6600.0
56.0,9719.0,SP,STATUS_Empresario,6700.0
19.0,1980.0,SP,STATUS_Empresario,4700.0
58.0,7447.0,SP,STATUS_Empregado,6300.0
35.0,14568.0,RJ,STATUS_Autonomo,7500.0
63.0,19181.0,SP,STATUS_Autonomo,9600.0
40.0,,BA,STATUS_Autonomo,5300.0
43.0,12719.0,BA,STATUS_Autonomo,5700.0
28.0,16134.0,BA,STATUS_Empresario,9200.0
65.0,5424.0,PR,STATUS_Autonomo,4700.0
18.0,4873.0,BA,STATUS_Autonomo,2800.0
53.0,4535.0,RJ,STATUS_Autonomo,5100.0
67.0,3552.0,RJ,STATUS_Empregado,5900.0
37.0,5497.0,SP,STATUS_Autonomo,5700.0
48.0,7440.0,BA,STATUS_Empregado,5400.0
25.0,8563.0,BA,STATUS_Empregado,5800.0
57.0,13378.0,BA,STATUS_Empregado,7700.0
41.0,19647.0,RJ,STATUS_Autonomo,7900.0
37.0,4991.0,RJ,STATUS_Empresario,4500.0
32.0,19666.0,BA,STATUS_Autonomo,8100.0
47.0,12528.0,SP,STATUS_Empresario,8200.0
37.0,3893.0,SP,STATUS_Autonomo,4200.0
55.0,6973.0,RJ,STATUS_Autonomo,4900.0
19.0,6147.0,PR,STATUS_Empresario,4900.0
23.0,12969.0,BA,STATUS_Empregado,6300.0
59.0,15792.0,RJ,STATUS_Empregado,10100.0
35.0,18694.0,BA,STATUS_Empregado,7500.0
53.0,18454.0,RJ,STATUS_Empresario,11500.0
31.0,4108.0,RJ,STATUS_Autonomo,4000.0
43.0,9575.0,MG,STATUS_Autonomo,5300.0
51.0,,PR,STATUS_Empresario,6100.0
47.0,18261.0,RJ,STATUS_Empregado,8600.0
24.0,19783.0,MG,STATUS_Autonomo,9500.0
47.0,11772.0,RJ,STATUS_Empresario,8300.0
,2906.0,MG,STATUS_Empresario,5200.0
39.0,18226.0,MG,STATUS_Autonomo,7700.0
,3460.0,PR,STATUS_Empresario,3900.0
48.0,18344.0,BA,STATUS_Empresario,10200.0
34.0,19469.0,BA,STATUS_Empregado,8700.0
48.0,13634.0,MG,STATUS_Empresario,10200.0
,9708.0,RJ,STATUS_Empregado,5800.0
44.0,18615.0,PR,STATUS_Empresario,10100.0
37.0,15519.0,PR,STATUS_Empregado,7600.0
,3762.0,PR,STATUS_Autonomo,3600.0
46.0,19459.0,RJ,STATUS_Autonomo,8300.0
56.0,11553.0,BA,STATUS_Empregado,7800.0
52.0,6771.0,PR,STATUS_Autonomo,6400.0
25.0,,BA,STATUS_Empresario,6000.0
,5296.0,BA,STATUS_Empregado,6600.0
55.0,8564.0,RJ,STATUS_Empregado,7000.0
32.0,3670.0,SP,STATUS_Autonomo,3600.0
67.0,13786.0,BA,STATUS_Empregado,8600.0
18.0,2430.0,PR,STATUS_Autonomo,2400.0
50.0,6828.0,RJ,STATUS_Empregado,5400.0
20.0,6903.0,RJ,STATUS_Autonomo,5000.0
56.0,14333.0,RJ,STATUS_Autonomo,7000.0
55.0,4636.0,PR,STATUS_Empresario,7500.0
65.0,19803.0,MG,STATUS_Empresario,12900.0
32.0,7262.0,RJ,STATUS_Empregado,4500.0
59.0,10134.0,BA,STATUS_Autonomo,7400.0
35.0,4593.0,RJ,STATUS_Empresario,5700.0
55.0,12127.0,MG,STATUS_Empregado,7400.0
48.0,17983.0,BA,STATUS_Autonomo,8200.0
37.0,19687.0,BA,STATUS_Empresario,9000.0
24.0,13056.0,BA,STATUS_Autonomo,6100.0
54.0,7172.0,RJ,STATUS_Empresario,8500.0
44.0,18965.0,RJ,STATUS_Autonomo,7800.0
,19994.0,BA,STATUS_Empregado,8900.0
31.0,14688.0,MG,STATUS_Empresario,8400.0
,5100.0,SP,STATUS_Autonomo,4500.0
32.0,11602.0,BA,STATUS_Empresario,8400.0
24.0,16629.0,MG,STATUS_Empresario,10000.0
,10380.0,MG,STATUS_Autonomo,5500.0
69.0,13079.0,MG,STATUS_Empregado,8500.0
51.0,,BA,STATUS_Empresario,7300.0
21.0,18476.0,BA,STATUS_Autonomo,7100.0
18.0,8705.0,SP,STATUS_Empregado,4900.0
58.0,2859.0,MG,STATUS_Autonomo,5700.0
31.0,19812.0,RJ,STATUS_Autonomo,9200.0
48.0,5092.0,PR,STATUS_Empresario,7700.0
,19213.0,PR,STATUS_Autonomo,8600.0
67.0,9415.0,MG,STATUS_Autonomo,6500.0
37.0,10624.0,PR,STATUS_Empregado,4700.0
20.0,10446.0,PR,STATUS_Empresario,6100.0
52.0,16712.0,BA,STATUS_Autonomo,7000.0
63.0,16346.0,BA,STATUS_Empresario,10800.0
50.0,3712.0,SP,STATUS_Empregado,4100.0
32.0,2944.0,MG,STATUS_Empregado,2600.0
20.0,17765.0,PR,STATUS_Autonomo,6500.0
45.0,16972.0,BA,STATUS_Empresario,8900.0
44.0,9534.0,PR,STATUS_Autonomo,5800.0
64.0,10226.0,PR,STATUS_Empresario,9000.0
64.0,19151.0,RJ,STATUS_Empresario,11200.0
50.0,3362.0,MG,STATUS_Empregado,3900.0
,4944.0,BA,STATUS_Autonomo,2700.0
50.0,19485.0,BA,STATUS_Empresario,11300.0
48.0,14447.0,RJ,STATUS_Empregado,7900.0
21.0,19834.0,BA,STATUS_Empregado,8400.0
49.0,5241.0,RJ,STATUS_Empresario,6300.0
59.0,7819.0,MG,STATUS_Autonomo,5600.0
,18583.0,SP,STATUS_Autonomo,9500.0
33.0,7724.0,PR,STATUS_Autonomo,4000.0
66.0,14613.0,SP,STATUS_Autonomo,7900.0
60.0,3451.0,RJ,STATUS_Empregado,5600.0
45.0,2611.0,PR,STATUS_Autonomo,3800.0
32.0,1609.0,PR,STATUS_Autonomo,900.0
65.0,17127.0,MG,STATUS_Empresario,9500.0
39.0,13008.0,PR,STATUS_Empresario,7800.0
48.0,16198.0,PR,STATUS_Empresario,10500.0
38.0,2442.0,RJ,STATUS_Empresario,5700.0
49.0,19401.0,RJ,STATUS_Empregado,9700.0
24.0,9464.0,RJ,STATUS_Autonomo,5000.0
,9236.0,PR,STATUS_Autonomo,5000.0
,17151.0,MG,STATUS_Empregado,7900.0
31.0,13983.0,RJ,STATUS_Empregado,6000.0
42.0,8674.0,PR,STATUS_Empregado,6500.0
49.0,16330.0,RJ,STATUS_Empregado,7900.0
45.0,17399.0,MG,STATUS_Autonomo,8200.0
19.0,10208.0,PR,STATUS_Empregado,3500.0
34.0,16968.0,RJ,STATUS_Autonomo,6200.0
44.0,12219.0,MG,STATUS_Empresario,9200.0
,3287.0,RJ,STATUS_Empresario,5000.0
25.0,12636.0,SP,STATUS_Empregado,5100.0
55.0,17271.0,PR,STATUS_Autonomo,9500.0
37.0,4436.0,BA,STATUS_Empresario,4800.0
66.0,12113.0,PR,STATUS_Empresario,9400.0
,6080.0,SP,STATUS_Empregado,5100.0
38.0,19949.0,BA,STATUS_Autonomo,7600.0
,5200.0,BA,STATUS_Empregado,5600.0
48.0,8141.0,RJ,STATUS_Autonomo,6700.0
37.0,15840.0,BA,STATUS_Autonomo,7200.0
23.0,4986.0,PR,STATUS_Autonomo,4400.0
67.0,2205.0,MG,STATUS_Autonomo,4300.0
32.0,12552.0,SP,STATUS_Empregado,6500.0
18.0,19805.0,RJ,STATUS_Empresario,9400.0
43.0,18579.0,MG,STATUS_Autonomo,7300.0
46.0,3326.0,BA,STATUS_Autonomo,4200.0
19.0,8308.0,RJ,STATUS_Autonomo,4500.0
39.0,15108.0,RJ,STATUS_Empregado,7300.0
46.0,7943.0,SP,STATUS_Autonomo,3800.0
,5193.0,SP,STATUS_Empresario,5700.0
58.0,8214.0,RJ,STATUS_Autonomo,4700.0
38.0,19615.0,RJ,STATUS_Empresario,9600.0
49.0,8528.0,BA,STATUS_Empresario,7600.0
49.0,4815.0,BA,STATUS_Empregado,4300.0
64.0,15771.0,PR,STATUS_Empresario,10600.0
,17570.0,RJ,STATUS_Autonomo,8600.0
57.0,5534.0,BA,STATUS_Empresario,5700.0
43.0,16291.0,SP,STATUS_Autonomo,7700.0
,16048.0,PR,STATUS_Empresario,11000.0
30.0,3778.0,MG,STATUS_Autonomo,3900.0
20.0,3411.0,PR,STATUS_Empregado,2700.0
49.0,5698.0,SP,STATUS_Autonomo,4600.0
50.0,11668.0,RJ,STATUS_Empregado,5800.0
50.0,19106.0,MG,STATUS_Autonomo,10300.0
59.0,19434.0,PR,STATUS_Empresario,12500.0
59.0,8270.0,BA,STATUS_Autonomo,5900.0
30.0,3218.0,RJ,STATUS_Empresario,4900.0
60.0,3024.0,RJ,STATUS_Autonomo,2100.0
23.0,12780.0,PR,STATUS_Autonomo,6300.0
,,MG,STATUS_Autonomo,8000.0
55.0,3458.0,MG,STATUS_Empregado,5400.0
,2944.0,BA,STATUS_Empresario,4200.0
68.0,5592.0,SP,STATUS_Empregado,5700.0
20.0,13265.0,SP,STATUS_Empregado,5000.0
,,BA,STATUS_Empregado,5400.0
57.0,5797.0,MG,STATUS_Empregado,6600.0
37.0,9372.0,BA,STATUS_Autonomo,6100.0
35.0,1701.0,PR,STATUS_Autonomo,2900.0
37.0,3060.0,RJ,STATUS_Empregado,3500.0
47.0,4075.0,PR,STATUS_Empregado,3700.0
27.0,17430.0,PR,STATUS_Empregado,7000.0
69.0,11985.0,MG,STATUS_Empresario,9900.0
40.0,17935.0,RJ,STATUS_Empresario,9700.0
64.0,4420.0,SP,STATUS_Autonomo,6300.0
20.0,15151.0,MG,STATUS_Empresario,9000.0
69.0,8855.0,MG,STATUS_Empregado,6600.0
67.0,12771.0,PR,STATUS_Empresario,8700.0
26.0,11220.0,RJ,STATUS_Empregado,5200.0
,3537.0,PR,STATUS_Empresario,7700.0
36.0,15031.0,PR,STATUS_Empresario,8400.0
53.0,11333.0,RJ,STATUS_Empresario,9000.0
57.0,5501.0,MG,STATUS_Autonomo,4500.0
44.0,9280.0,SP,STATUS_Empresario,7800.0
59.0,9605.0,MG,STATUS_Autonomo,6800.0
45.0,15575.0,MG,STATUS_Autonomo,8200.0
