Data_Venda,Categoria,Preco_Unitario,Desconto_Perc,Quantidade,Tempo_Entrega_Dias,Mes
2023-12-10,Eletrônicos,"1234,04","0,35",4,5,12
2023-05-09,Vestuário,"137,57","0,12",3,22,5
2023-05-16,Eletrônicos,"1354,32","0,12",1,4,5
2023-03-04,Livros,"68,85","0,11",3,4,3
2023-05-19,Eletrônicos,"922,25","0,13",1,3,5
2023-03-22,Casa e Decoração,"360,14","0,22",4,2,3
2023-06-12,Eletrônicos,"875,29","0,28",2,5,6
2023-10-16,Beleza,"109,71","0,27",4,6,10
2023-09-18,Livros,"62,65","0,32",5,4,9
2023-08-19,Vestuário,"153,29","0,35",5,7,8
2023-02-10,Beleza,"106,48","0,33",4,4,2
2023-01-28,Eletrônicos,"1117,35","0,01",1,2,1
2023-05-15,Beleza,"112,85","0,29",5,6,5
2023-07-20,Eletrônicos,"915,47","0,08",1,4,7
2023-11-24,Livros,"81,18","0,05",1,6,11
2023-09-25,Eletrônicos,"1034,73","0,26",2,3,9
2023-02-02,Casa e Decoração,"180,38","0,13",3,5,2
2023-02-17,Beleza,"81,79","0,02",1,3,2
2023-03-03,Vestuário,"132,32","0,06",3,5,3
2023-08-04,Eletrônicos,"1099,18",0,1,6,8
2023-10-20,Eletrônicos,"1269,49","0,36",4,5,10
2023-04-09,Vestuário,"193,91","0,01",1,5,4
2023-06-21,Casa e Decoração,"330,83","0,08",2,2,6
2023-12-26,Eletrônicos,"992,51","0,17",1,6,12
2023-08-02,Vestuário,"104,94","0,14",4,6,8
2023-02-04,Eletrônicos,"1059,55","0,36",3,3,2
2023-08-15,Beleza,"42,8","0,02",1,3,8
2023-04-11,Eletrônicos,"982,46","0,2",5,6,4
2023-05-11,Vestuário,"199,76","0,27",5,4,5
2023-09-14,Eletrônicos,"952,99","0,37",5,3,9
2023-01-05,Vestuário,"175,15","0,25",4,5,1
2023-08-06,Beleza,"59,34","0,32",4,4,8
2023-09-12,Vestuário,"220,84","0,03",1,5,9
2023-12-25,Eletrônicos,"1751,28","0,15",1,4,12
2023-10-10,Beleza,"104,78","0,15",2,4,10
2023-07-26,Beleza,"139,78","0,35",4,6,7
2023-01-15,Eletrônicos,"1306,74","0,06",1,1,1
2023-12-12,Beleza,"109,21","0,06",2,5,12
2023-02-11,Livros,"78,93","0,13",4,6,2
2023-06-28,Eletrônicos,"1253,92","0,02",1,4,6
2023-03-04,Beleza,"51,19","0,07",2,6,3
2023-12-18,Beleza,"109,72","0,39",5,3,12
2023-08-19,Vestuário,"131,13","0,17",1,4,8
2023-08-29,Eletrônicos,"1080,74","0,25",3,3,8
2023-02-21,Eletrônicos,"1289,37","0,29",2,6,2
2023-04-06,Beleza,"104,16","0,15",3,2,4
2023-08-10,Livros,"62,25","0,06",2,7,8
2023-08-19,Casa e Decoração,"413,57","0,08",1,4,8
2023-08-25,Vestuário,"121,73","0,13",3,5,8
2023-05-23,Casa e Decoração,"345,73","0,25",4,5,5
2023-06-20,Casa e Decoração,"434,91","0,16",4,5,6
2023-01-29,Vestuário,"220,91",0,2,4,1
2023-02-05,Eletrônicos,"1837,93","0,21",2,6,2
2023-01-13,Beleza,"100,82","0,37",4,4,1
2023-06-09,Vestuário,"183,6","0,32",3,3,6
2023-11-23,Beleza,"139,54","0,33",5,6,11
2023-07-06,Vestuário,"123,17","0,32",4,5,7
2023-08-31,Eletrônicos,"1388,91","0,13",2,7,8
2023-03-27,Eletrônicos,"1430,5","0,31",4,4,3
2023-10-11,Vestuário,"207,91","0,06",1,4,10
2023-03-07,Livros,"42,94","0,26",5,5,3
2023-06-19,Eletrônicos,"918,18","0,26",4,4,6
2023-02-14,Beleza,"90,53","0,01",1,4,2
2023-03-03,Vestuário,"165,11","0,32",7,6,3
2023-05-14,Beleza,"118,07","0,36",5,16,5
2023-10-11,Vestuário,"170,7","0,11",2,4,10
2023-01-28,Beleza,"86,21","0,32",5,3,1
2023-04-18,Beleza,"100,41","0,03",1,4,4
2023-02-13,Eletrônicos,"1290,31","0,24",3,5,2
2023-12-06,Eletrônicos,"1723,5","0,19",1,5,12
2023-10-13,Beleza,"94,14","0,22",6,6,10
2023-11-27,Livros,"54,25","0,37",5,5,11
2023-05-08,Eletrônicos,"1334,88","0,35",4,17,5
2023-12-14,Beleza,"94,96","0,31",4,28,12
2023-08-19,Livros,"36,44","0,11",3,2,8
2023-07-09,Beleza,"89,61","0,36",5,6,7
2023-08-13,Livros,"58,49","0,04",1,2,8
2023-10-10,Beleza,"76,4","0,34",5,3,10
2023-05-01,Vestuário,"191,42","0,13",5,4,5
2023-04-26,Vestuário,"118,57","0,02",2,5,4
2023-08-21,Vestuário,"168,22","0,27",4,4,8
2023-09-16,Beleza,"86,3","0,09",1,4,9
2023-12-25,Beleza,"92,69","0,1",2,4,12
2023-07-17,Eletrônicos,"1323,54","0,12",1,5,7
2023-05-17,Beleza,"57,31","0,03",1,3,5
2023-11-14,Beleza,"94,79","0,07",3,3,11
2023-06-14,Casa e Decoração,"578,89",0,1,7,6
2023-08-13,Vestuário,"87,73","0,18",5,5,8
2023-11-03,Vestuário,"147,7","0,03",1,6,11
2023-08-22,Eletrônicos,"1536,97","0,27",3,5,8
2023-06-21,Eletrônicos,"1290,49","0,09",1,4,6
2023-06-01,Eletrônicos,"1406,39","0,38",3,5,6
2023-11-11,Eletrônicos,"487,3","0,35",4,6,11
2023-06-09,Vestuário,"173,93","0,12",2,6,6
2023-04-06,Vestuário,"119,53","0,31",5,4,4
2023-08-21,Eletrônicos,"1292,96","0,32",4,6,8
2023-06-29,Beleza,"89,26","0,39",6,1,6
2023-04-23,Vestuário,"241,13","0,24",3,6,4
2023-11-14,Livros,"68,2","0,03",2,4,11
2023-02-21,Livros,"58,31","0,26",5,5,2
2023-09-25,Eletrônicos,"747,09","0,25",4,4,9
2023-10-22,Vestuário,"154,85","0,26",3,3,10
2023-04-23,Eletrônicos,"1446,97","0,12",2,5,4
2023-04-11,Casa e Decoração,"341,94","0,34",5,2,4
2023-04-23,Casa e Decoração,"299,43","0,38",4,4,4
2023-03-22,Eletrônicos,"1028,22","0,09",2,3,3
2023-07-06,Casa e Decoração,"403,51","0,04",2,4,7
2023-04-23,Eletrônicos,"1427,82","0,08",1,6,4
2023-01-02,Eletrônicos,"1608,36","0,33",3,4,1
2023-05-10,Casa e Decoração,"250,5","0,27",4,5,5
2023-08-08,Vestuário,"171,04","0,25",3,6,8
2023-02-23,Casa e Decoração,"337,83","0,16",4,4,2
2023-12-09,Vestuário,"146,31","0,23",5,4,12
2023-08-12,Livros,"66,03","0,12",2,7,8
2023-08-13,Eletrônicos,"1322,3","0,19",2,4,8
2023-05-06,Vestuário,"171,15","0,32",4,5,5
2023-05-10,Casa e Decoração,"244,25","0,39",5,5,5
2023-02-22,Vestuário,"120,01","0,37",5,3,2
2023-06-21,Livros,"82,29","0,37",1,3,6
2023-08-06,Beleza,"84,49","0,16",5,5,8
2023-06-09,Casa e Decoração,"380,6","0,19",3,1,6
2023-07-17,Beleza,"116,37","0,28",4,4,7
2023-09-04,Livros,"66,95","0,37",5,3,9
2023-11-20,Livros,"68,2","0,06",2,6,11
2023-07-22,Beleza,"112,36","0,12",2,5,7
2023-07-03,Beleza,"37,08","0,06",1,6,7
2023-05-03,Eletrônicos,"1053,01","0,24",1,4,5
2023-09-12,Eletrônicos,"1340,58","0,12",1,4,9
2023-10-21,Casa e Decoração,"488,76","0,13",1,4,10
2023-10-07,Eletrônicos,"1219,83","0,03",1,4,10
2023-11-21,Vestuário,"116,21","0,14",4,9,11
2023-04-08,Eletrônicos,"954,57","0,34",3,6,4
2023-07-17,Vestuário,"185,35","0,09",1,3,7
2023-08-28,Beleza,"84,56","0,28",4,8,8
2023-05-24,Livros,"59,89","0,25",4,4,5
2023-04-07,Eletrônicos,"1384,51","0,35",3,5,4
2023-07-20,Vestuário,"33,94","0,05",3,6,7
2023-05-04,Beleza,"140,01","0,39",5,2,5
2023-07-06,Eletrônicos,"980,68","0,23",2,3,7
2023-11-22,Beleza,"96,05","0,4",4,7,11
2023-12-15,Vestuário,"81,81","0,36",5,4,12
2023-09-16,Vestuário,"133,1","0,09",1,6,9
2023-05-28,Livros,"78,67","0,02",2,4,5
2023-09-09,Eletrônicos,"625,15","0,1",3,4,9
2023-12-12,Casa e Decoração,"462,62","0,21",2,7,12
2023-05-27,Beleza,"83,16","0,07",2,5,5
2023-05-28,Eletrônicos,"1346,15","0,07",2,4,5
2023-12-18,Casa e Decoração,"415,75","0,19",3,3,12
2023-07-18,Livros,"66,62","0,01",2,4,7
2023-11-04,Eletrônicos,"940,51","0,05",1,6,11
2023-05-08,Beleza,"80,89","0,17",3,6,5
2023-02-08,Casa e Decoração,"203,84","0,03",2,3,2
2023-12-04,Casa e Decoração,"399,18","0,16",2,5,12
2023-12-26,Casa e Decoração,"520,21","0,19",5,4,12
2023-05-09,Vestuário,"77,02","0,18",4,5,5
2023-09-24,Livros,"48,58","0,35",6,4,9
2023-05-31,Livros,"57,27","0,21",5,6,5
2023-10-25,Casa e Decoração,"367,33","0,19",3,4,10
2023-04-09,Beleza,"111,98","0,16",4,5,4
2023-09-20,Casa e Decoração,"334,78","0,33",5,3,9
2023-09-09,Vestuário,"137,36","0,36",4,3,9
2023-05-24,Casa e Decoração,"460,31","0,34",4,8,5
2023-12-12,Casa e Decoração,"416,2","0,27",3,7,12
2023-04-22,Casa e Decoração,"403,9","0,05",1,4,4
2023-03-01,Beleza,"92,81","0,11",2,7,3
2023-01-02,Vestuário,"189,33","0,02",2,6,1
2023-10-31,Eletrônicos,"1003,11","0,37",5,4,10
2023-09-11,Eletrônicos,"962,19","0,26",2,3,9
2023-05-20,Vestuário,"179,84","0,3",5,6,5
2023-02-06,Beleza,"49,37","0,12",1,5,2
2023-06-09,Casa e Decoração,"359,22","0,34",4,4,6
2023-01-09,Casa e Decoração,"318,34","0,1",4,6,1
2023-08-21,Vestuário,"93,77",0,1,2,8
2023-04-09,Casa e Decoração,"256,87","0,15",3,5,4
2023-05-27,Vestuário,"145,64","0,23",4,3,5
2023-10-31,Vestuário,"191,36","0,19",2,3,10
2023-07-27,Beleza,"73,68","0,34",5,3,7
2023-05-11,Beleza,"120,33","0,04",2,5,5
2023-06-01,Vestuário,"152,53","0,22",5,3,6
2023-02-23,Eletrônicos,"1593,12","0,21",1,3,2
2023-04-30,Eletrônicos,"1018,65","0,11",3,5,4
2023-06-10,Eletrônicos,"1185,36","0,33",3,7,6
2023-04-26,Casa e Decoração,"386,85","0,3",3,5,4
2023-03-16,Vestuário,"142,82","0,29",3,7,3
2023-04-23,Vestuário,"188,12","0,35",5,7,4
2023-04-14,Vestuário,"61,7","0,29",3,4,4
2023-12-06,Eletrônicos,"1926,72","0,09",1,5,12
2023-09-11,Vestuário,"184,31","0,28",4,4,9
2023-08-15,Eletrônicos,"1147,94","0,12",3,6,8
2023-04-22,Vestuário,"127,91","0,1",3,4,4
2023-04-09,Eletrônicos,"940,07","0,03",1,3,4
2023-06-02,Beleza,"106,14","0,3",4,7,6
2023-12-15,Eletrônicos,"1498,49","0,28",1,5,12
2023-12-04,Livros,"57,56","0,09",1,4,12
2023-07-13,Vestuário,"194,28","0,3",3,4,7
2023-11-06,Beleza,"67,32","0,37",6,3,11
2023-06-12,Casa e Decoração,"241,62","0,04",2,3,6
2023-07-27,Beleza,"135,33","0,09",3,4,7
2023-06-18,Beleza,"104,78","0,3",3,5,6
2023-06-10,Vestuário,"205,87","0,11",2,5,6
2023-03-09,Vestuário,"115,84","0,25",3,22,3
2023-10-16,Vestuário,"113,06","0,03",2,7,10
2023-10-04,Casa e Decoração,"314,14","0,18",3,1,10
2023-10-31,Eletrônicos,"952,78","0,3",3,5,10
2023-05-15,Vestuário,"178,21","0,27",4,4,5
2023-07-14,Casa e Decoração,"274,89","0,33",5,3,7
2023-05-08,Casa e Decoração,"232,83","0,35",4,5,5
2023-02-02,Beleza,"93,55","0,31",5,4,2
2023-06-25,Casa e Decoração,221,"0,27",5,6,6
2023-01-22,Livros,"33,01","0,01",3,6,1
2023-08-26,Vestuário,"155,33","0,21",4,7,8
2023-06-07,Vestuário,"80,03","0,02",2,4,6
2023-02-07,Vestuário,"181,01","0,32",4,7,2
2023-08-18,Vestuário,"94,19","0,13",4,3,8
2023-12-31,Beleza,"33,98","0,22",3,4,12
2023-02-20,Eletrônicos,"1111,86","0,11",2,4,2
2023-09-21,Beleza,"93,61","0,31",4,5,9
2023-10-10,Vestuário,"169,66","0,35",6,5,10
2023-01-27,Casa e Decoração,"367,2","0,16",3,3,1
2023-08-14,Casa e Decoração,"244,07","0,35",5,5,8
2023-10-04,Vestuário,"178,52","0,11",2,4,10
2023-10-13,Vestuário,"188,41","0,21",4,3,10
2023-04-07,Vestuário,"101,77","0,34",5,4,4
2023-10-11,Eletrônicos,"1145,7","0,13",1,2,10
2023-11-13,Vestuário,"139,02","0,38",5,6,11
2023-10-31,Eletrônicos,"1266,11","0,05",2,4,10
2023-05-27,Vestuário,"141,8","0,01",1,4,5
2023-01-04,Casa e Decoração,"343,21","0,36",5,4,1
2023-02-04,Casa e Decoração,"414,18","0,03",2,7,2
2023-07-11,Casa e Decoração,"238,61","0,4",6,7,7
2023-02-18,Eletrônicos,"1421,21","0,38",3,7,2
2023-01-17,Casa e Decoração,"464,11","0,05",2,4,1
2023-06-21,Vestuário,"215,37","0,22",4,3,6
2023-08-08,Vestuário,"64,27","0,07",3,4,8
2023-06-07,Beleza,"85,43","0,17",4,5,6
2023-02-15,Eletrônicos,"610,47","0,02",1,6,2
2023-01-06,Casa e Decoração,"106,49","0,09",3,5,1
2023-04-09,Casa e Decoração,"364,41","0,15",5,3,4
2023-08-21,Vestuário,"134,03","0,18",4,4,8
2023-02-06,Eletrônicos,"1289,96","0,39",6,4,2
2023-10-07,Eletrônicos,"1345,84","0,32",4,5,10
2023-12-15,Beleza,"121,2","0,29",6,5,12
2023-10-29,Vestuário,"152,16","0,21",4,6,10
2023-06-30,Vestuário,"266,93","0,34",5,5,6
2023-04-05,Vestuário,"162,26","0,14",3,1,4
2023-04-09,Casa e Decoração,"534,25","0,28",4,2,4
2023-07-07,Eletrônicos,"500,15","0,4",6,4,7
2023-04-26,Vestuário,"203,99","0,13",2,5,4
2023-07-10,Casa e Decoração,"331,92","0,27",6,6,7
2023-09-10,Livros,"30,77","0,34",4,5,9
2023-06-10,Vestuário,"166,82","0,37",6,3,6
2023-09-13,Vestuário,"137,88","0,29",6,5,9
2023-11-19,Vestuário,"173,2","0,11",2,4,11
2023-05-08,Casa e Decoração,"451,11","0,13",1,4,5
2023-01-18,Vestuário,"90,43","0,01",3,2,1
2023-10-08,Vestuário,"190,6","0,3",5,5,10
2023-08-11,Beleza,"90,16","0,02",2,5,8
2023-02-23,Beleza,"123,82","0,35",5,3,2
2023-02-27,Vestuário,"141,79","0,05",4,6,2
2023-11-19,Beleza,"78,24","0,07",1,5,11
2023-12-26,Casa e Decoração,"352,71","0,19",3,5,12
2023-06-23,Vestuário,"154,07","0,3",6,5,6
2023-10-07,Eletrônicos,"1001,16","0,06",1,6,10
2023-04-24,Livros,"52,56","0,18",4,5,4
2023-10-15,Eletrônicos,"831,94","0,19",2,3,10
2023-12-08,Eletrônicos,"1069,61","0,08",1,4,12
2023-05-31,Eletrônicos,"1402,89","0,05",1,5,5
2023-05-07,Casa e Decoração,"336,26","0,33",4,1,5
2023-06-04,Eletrônicos,"1502,72","0,2",1,3,6
2023-09-30,Eletrônicos,"1144,37","0,01",1,6,9
2023-04-14,Eletrônicos,"770,54","0,32",3,6,4
2023-10-26,Eletrônicos,"1379,18","0,39",4,6,10
2023-09-03,Casa e Decoração,"282,64","0,24",3,6,9
2023-06-25,Casa e Decoração,"326,66","0,2",2,5,6
2023-02-08,Vestuário,"199,5","0,35",5,3,2
2023-06-19,Vestuário,"103,57","0,38",6,4,6
2023-09-04,Casa e Decoração,"366,47","0,3",5,2,9
2023-01-26,Eletrônicos,"1187,84","0,18",3,6,1
2023-12-21,Vestuário,"178,04","0,24",4,3,12
2023-11-02,Livros,"72,83","0,28",4,4,11
2023-01-13,Casa e Decoração,"376,38","0,08",2,6,1
2023-11-12,Vestuário,"135,59","0,18",2,2,11
2023-11-09,Vestuário,"168,93","0,33",4,3,11
2023-02-05,Vestuário,"203,43","0,26",4,5,2
2023-06-22,Vestuário,"148,91","0,16",2,5,6
2023-01-20,Eletrônicos,"1119,82","0,27",5,4,1
2023-11-17,Eletrônicos,"1316,45","0,05",1,4,11
2023-09-21,Eletrônicos,"1211,62","0,16",3,6,9
2023-05-22,Livros,"39,93","0,32",5,5,5
2023-05-23,Beleza,"95,98","0,09",2,5,5
2023-04-02,Eletrônicos,"795,97","0,07",1,6,4
2023-12-20,Eletrônicos,"1312,34","0,38",2,4,12
2023-11-18,Beleza,"70,07","0,08",2,8,11
2023-10-15,Eletrônicos,"1211,06","0,1",1,1,10
2023-08-03,Eletrônicos,"1317,18","0,39",3,7,8
2023-12-08,Livros,"96,81","0,29",6,6,12
2023-02-20,Vestuário,"179,71","0,28",5,5,2
2023-06-02,Casa e Decoração,"486,48","0,34",5,5,6
2023-07-05,Livros,"88,08","0,05",3,4,7
2023-03-04,Vestuário,"169,57","0,28",3,6,3
2023-07-09,Eletrônicos,"1285,71","0,2",2,4,7
2023-05-05,Eletrônicos,"879,98","0,33",4,3,5
2023-05-30,Beleza,"87,08","0,2",2,6,5
2023-11-10,Beleza,"71,92","0,25",3,7,11
2023-02-27,Beleza,"79,97","0,19",3,2,2
2023-12-08,Eletrônicos,"1761,2","0,19",2,8,12
2023-11-01,Beleza,"92,87","0,31",7,3,11
2023-06-29,Livros,"46,86","0,25",4,3,6
2023-06-19,Casa e Decoração,"487,45","0,25",4,3,6
2023-11-22,Livros,"74,33","0,18",3,5,11
2023-09-28,Beleza,"115,19","0,21",4,3,9
2023-02-23,Casa e Decoração,"149,39","0,3",3,16,2
2023-04-11,Casa e Decoração,"544,87","0,33",6,3,4
2023-09-21,Vestuário,"127,66","0,28",4,5,9
2023-02-22,Eletrônicos,"1433,39","0,37",3,5,2
2023-03-01,Casa e Decoração,"602,38","0,33",5,6,3
2023-04-18,Vestuário,"236,21","0,22",3,6,4
2023-01-05,Beleza,"65,56","0,27",5,6,1
2023-04-13,Livros,"38,33","0,37",7,4,4
2023-07-15,Beleza,"125,76","0,25",4,2,7
2023-09-19,Eletrônicos,"1242,62","0,33",6,2,9
2023-12-31,Vestuário,"129,96","0,28",5,6,12
2023-12-16,Eletrônicos,"1386,37","0,22",3,6,12
2023-02-16,Casa e Decoração,"333,71","0,1",3,4,2
2023-12-21,Beleza,"107,53","0,17",5,2,12
2023-11-07,Livros,61,"0,39",6,3,11
2023-11-04,Vestuário,"178,9","0,26",5,5,11
2023-05-24,Livros,"46,58","0,23",5,5,5
2023-09-26,Beleza,"125,61","0,37",4,6,9
2023-05-04,Vestuário,"177,9","0,23",2,4,5
2023-04-16,Beleza,"106,16","0,21",3,4,4
2023-06-07,Vestuário,"105,29","0,3",3,6,6
2023-05-27,Vestuário,"217,99","0,29",4,1,5
2023-05-25,Casa e Decoração,"348,63","0,08",2,5,5
2023-04-30,Vestuário,"179,12","0,19",3,4,4
2023-11-15,Casa e Decoração,"317,72","0,19",3,6,11
2023-10-02,Casa e Decoração,"376,09","0,15",2,5,10
2023-04-02,Casa e Decoração,"379,71","0,21",4,3,4
2023-02-27,Vestuário,"37,2","0,17",2,4,2
2023-12-12,Vestuário,"173,3","0,08",1,1,12
2023-08-17,Casa e Decoração,"546,53","0,16",2,6,8
2023-04-27,Vestuário,"171,59","0,03",3,5,4
2023-11-14,Vestuário,"111,69","0,23",4,7,11
2023-10-06,Eletrônicos,"1394,99","0,34",2,4,10
2023-05-07,Casa e Decoração,"455,95","0,29",4,6,5
2023-05-09,Eletrônicos,"1353,74","0,14",2,3,5
2023-02-27,Casa e Decoração,"342,59","0,03",2,1,2
2023-05-02,Beleza,"83,95","0,08",2,4,5
2023-01-01,Vestuário,"140,15","0,22",4,4,1
2023-08-27,Vestuário,"177,91","0,08",1,3,8
2023-10-17,Livros,"38,89","0,22",3,6,10
2023-04-06,Beleza,"80,7","0,09",1,6,4
2023-05-06,Livros,"83,93","0,34",6,5,5
2023-04-28,Beleza,"130,85","0,16",4,4,4
2023-02-17,Eletrônicos,"756,56","0,1",2,5,2
2023-03-30,Eletrônicos,"860,58","0,32",2,4,3
2023-08-25,Vestuário,"139,18","0,14",3,5,8
2023-09-29,Eletrônicos,"1467,78","0,04",2,2,9
2023-07-08,Vestuário,"76,9","0,23",4,3,7
2023-07-11,Vestuário,"147,81","0,23",4,3,7
2023-03-10,Vestuário,"131,03","0,29",5,5,3
2023-10-05,Beleza,"123,15","0,1",3,4,10
2023-12-15,Beleza,"48,08","0,18",4,7,12
2023-09-04,Vestuário,"153,7","0,11",3,6,9
2023-03-17,Beleza,"80,16","0,03",2,3,3
2023-06-03,Vestuário,"208,79","0,35",4,5,6
2023-05-24,Beleza,"104,94","0,29",4,4,5
2023-03-27,Eletrônicos,"1024,26","0,12",2,5,3
2023-07-04,Livros,"72,8","0,24",3,6,7
2023-10-12,Casa e Decoração,"311,12","0,08",1,6,10
2023-08-08,Vestuário,"189,97","0,36",5,5,8
2023-03-10,Eletrônicos,"1128,88","0,05",2,7,3
2023-02-16,Vestuário,"192,19",0,1,5,2
2023-04-04,Eletrônicos,"1330,82","0,2",2,5,4
2023-08-26,Eletrônicos,"2178,15","0,23",2,4,8
2023-07-23,Casa e Decoração,"344,71","0,23",4,4,7
2023-08-06,Vestuário,"165,31","0,02",1,5,8
2023-12-07,Casa e Decoração,"302,06","0,13",3,5,12
2023-02-08,Livros,"60,04","0,2",4,5,2
2023-04-10,Vestuário,"41,93","0,09",2,5,4
2023-10-16,Casa e Decoração,"396,56","0,35",6,5,10
2023-09-11,Eletrônicos,"1602,86","0,03",1,8,9
2023-08-10,Beleza,"99,92","0,19",4,4,8
2023-12-23,Vestuário,"97,45","0,28",3,5,12
2023-01-23,Livros,"47,97","0,1",2,4,1
